[有雷劇介&心得]電影—報告老師！怪怪怪怪物！ ＜誰才是怪物？誰不是壞人？＞,0,3,13,10,0
小影評 / 哈利波特：混血王子的背叛　之其實是給看過小說的人看的　（雷很大雷不用錢,0,0,0,0,0
【電影《與神同行》──別忘了這是地獄啊！】介紹、心得分析、經典台詞,2,6,5,0,0
報告老師！怪怪怪怪物！：劇情簡介＆人物介紹,1,5,16,4,0
瘋謎來看我吧 come to see me/nal borowayo (insane),4,13,39,23,3
【電影】還不快看！15部少女必看的浪漫愛情喜劇！,16,32,135,73,28
《血觀音》冷感無愛直到麻木不仁｜影評．心得,5,18,81,55,8
《極樂宿舍》，出社會前，就躲在宿舍吧。,7,11,88,77,24
《明日邊界》(Edge of Tomorrow) - 一看完就讓我想重看的片,3,9,2,0,0
〈霍爾的移動城堡〉奧秘在哪裡？,0,0,0,0,0
【解凍屍篇｜Bluebeard】各懷鬼胎,1,8,18,2,0
【電影】Get Out！《逃出絕命鎮》12個看不見的隱藏含意,0,0,0,0,0
[看影集學英文] 最夯美國影集(美劇)推薦及劇情提要(無雷) PART 2 (2018更新),22,45,169,130,41
2017十大電影推薦！ ＆  2018上半年十大期待電影！,0,0,0,0,0
悟空傳《Wukong》 ,1,15,15,0,0
會計師 The Accountant-畫作、音樂與電影：「勇者無敵」 自閉症關懷版,6,18,92,48,11
[電影] 我心目中的十大排名韓國電影推薦☞②,13,53,205,83,5
血紅帽,1,4,23,14,0
線上電影免費看 | 瞞天過海：八面玲瓏 Ocean's 8,0,0,0,0,0
