category,average_chars_per_abandoned_article,average_chars_per_tagged_article,abandoned_ratio
food,4260.225352112676,2485.1639344262294,0.14760914760914762
tech,2647.753424657534,3993.9545454545455,0.6759259259259259
movie,3172.2727272727275,3594.030303030303,0.171875
beauty,4043.25,2462.0526315789475,0.12631578947368421
