title,view_count,word_count
[心得]美劇 SUITS 金裝律師 無照律師 聰明人的過招,12702,3616
Wenrene─錯而不過28,236,2360
國小女生自殺實錄,77133,1969
英文文法輕鬆學：五大基本句型,477468,3310
【歷史】為何德國人在二次世界大戰時要殺害猶太人？,176312,2668
七十個最美麗的英文單字,34979,1647
勳風牌降溫冰晶盒－使用心得,59024,1552
﹝整理﹞推理/刑偵/犯罪心理言情小說推薦,8114,4156
[必讀] 英文小說推薦書單！ 2017 (上),0,4106
情色小說《花宵道中》讀書心得,0,4152
索多瑪120天：令人崩潰的色虐震撼,121165,2193
NO.727 天皇御廚的傳說食譜VS別無分號的真．美食偵探！田中經一《擁有麒麟之舌的男人》,1473,11597
百年孤寂簡短心得,22906,3225
