title,view_count,word_count
【中壢】「森林系風格的肆捨五入Coffee，綠色植物牆好好拍(科技人文咖啡館/輕食/甜點/延平路/近監理站)」,4235,4104
中永和美食．碗粿之家24小時營業．中和宜安路晚上宵夜的好去處．吃肉圓碗粿配伯爵奶茶超新奇．,1018,1829
新竹縣竹北美食｜Mgm米吉米·法法拉。中平價早午晚餐有花花草草IG好拍小資族聚餐新選擇(營業時間菜單電話地址.義大利麵.燉飯.排餐.成功二街.體育館附近.邀約)--踢小米食記,3246,3407
【台北美食】汕頭牛肉麵-只要70元就能吃到牛肉麵,2874,1611
台南大腸香腸關東煮／無招牌飄香16年／每日限量賣完提早收／木炭烘烤就是特別香／在地老饕就愛這一味,2149,1524
台北小吃 | 阿川麵線。在地必吃浮誇版麵線，霸氣用料整碗舖滿滿！(雙連站),2840,3779
【食。蘆竹】無名飯糰〜在地人狂推薦銅板價早餐！早上6點就排隊的巨無霸綜合飯糰，料多到爆餡！,1273,1487
【台南火鍋】 鍋醬平價小火鍋｜整整兩尾夠實在～超越6.3吋手機的巨無霸小卷｜超乎想像的高CP質｜不同一般的獨家五種湯頭,2440,1826
(合作) 台酒花雕雞麵試吃-隨便煮煮就很好吃!!!!,3394,2738
南京水餃鍋貼專賣店┃台中西區：水餃大顆飽滿有多種內餡，鍋貼外皮酥脆香氣十足,3398,1758
高雄美食 - 大寮無名沙茶魷魚羹 x 肉燥飯跟雞絲飯也好吃哦！,3537,1103
台南美食-芯芯要去【大成路177巷早餐店】~隱身巷弄古早味麵糊蛋餅配料比飯糰還精彩,576,824
"「肉肉山」壽喜燒,吃到飽,三創生活園區9樓,價位,價格不用500元,「密特師傅」食材市集旁",11416,3719
【新竹湖口｜美食】無用餐時間限制，夜景景觀餐廳推薦，大片綠地適合親子遊樂，多處造景適合拍照打卡。夏季三角景觀咖啡廳,1231,1806
台南美食 人良更名甘沐手作千層 心中最愛最好吃最難買 看的到搶不到的千層蛋糕!!,1409,1229
台南美食 來自台中的平價早餐店，台南也吃得到囉~『Morni莫尼 西門店』,0,1077
【台中】入口鬆餅 Pancake ZooKoo‧巷弄內熱門美食！鬆餅綿密鬆軟鹹甜都有～份量十足！,20913,4045
我的新莊美食早餐(22)--清淡爽口粉腸湯和滷味十足香噴噴滷肉飯--無名店在復興路三段,327,512
【食記】台北*信義。GUMGUM Beer & Wings 雞翅酒吧*道道驚豔好吃餐酒館 公主系列調酒,657,1926
台中小吃 小六鍋貼-酥脆＋爆漿是要逼死誰，有點貴但蠻好吃的排隊鍋貼｜台中美食、台中西屯區,70465,2104
【台北美食推薦】2018米其林清單&台北超人氣餐廳小吃、捷運美食特輯！（2018.5更新）,154577,17760
八訪Cantina del gio~~喝悶酒,338,1423
[川味食記] 新竹－成都名小吃,494,1170
八妹婆婆,2321,1050
必勝客歡樂吧__300有找吃到飽！2018地中海夏日饗宴新菜｜最新優惠 / 壽星獨享生日好禮物整理『台北國父紀念館 · 忠孝光復 』,154,3571
台中最狂拉麵吃到飽。豚將日本拉麵台中東海店。九州博多拉麵吃到飽 冰麥茶喝到飽 只要銅板價 CP值爆棚,808,5093
【新莊涼麵】阿公食堂 涼麵 ~巷弄裡的溫馨小吃 高品質美味涼麵只要40元^^飯麵佛心價+食材好用心,115,2758
[台中北區]泰泰248烤肉飯涼麵 - 泰泰涼麵搬家囉，改成主打烤肉飯，涼麵變成夏季限定，店家的烤肉超好吃，印尼友人傳授的烤沙嗲更是必點，涼麵同時也推出完全客製化，大胃王可以來挑戰他們的暴盛涼麵喔 !!,504,2856
貨室甜品 轉角文青風格小店 創新式古早味冰品與甜品,258,1785
