title,view_count,word_count
何念茲[30P]寫真書《念在你身邊》大解放!讓眼睛更貼近女神的私密光景,0,1874
台視東森《1006的房客》分集劇情第1-26集最終回，李國毅、謝欣穎、謝坤達、謝沛恩、黃騰浩主演，故事劇情角色介紹，愛奇藝台灣代理商歐銻銻娛樂首部自製戲劇，採取4K高畫質與杜比音效拍攝(劇照&片頭曲&片尾曲，潘裕文 凜冬將至，畢書盡  聊傷),59106,13846
大推BTS 防彈少年團(介紹+認人),129746,2737
八大網路看文術語大解說！,55293,1919
Luis Fonsi - Despacito ft. Daddy Yankee 歌詞翻譯,658663,6428
電影虎蘭花《玩命直播》8.5分,3188,2948
[中韓歌詞] Magic Shop - 防彈少年團 LOVE YOURSELF 轉 Tear,3148,1710
[偶像] WANNA ONE 限定國民男團基本資料介紹+迷妹的各種內心OS,141293,12998
中文歌詞翻譯Alan Walker - All Falls Down (feat. Noah Cyrus with Digital Farm Animals),122902,3072
[吉] #312 岑寧兒 - 追光者,214878,103
【中文歌詞翻譯】Ariana Grande - No Tears Left To Cry 不再哭泣,19415,4804
【文青歌單 │ 好歌推薦 │ 2018更新】No.51~???,0,17988
必看好劇《隧道》 主角太笨只好100分扣10分,11511,2659
♪BTS防彈少年團 - FAKE LOVE(附中文空耳),4965,4744
[吉] #124 周杰倫 - 晴天,551800,119
《攻敵必救》精彩到令人停止呼吸！,24359,7830
"韓飯應援,追星書信應援板懶人包",284294,6803
《第一誡》,25997,2189
Justin Bieber - Let Me Love You :: DJ Snake 中文翻譯歌詞,0,2459
2017 我最喜歡的13首英文歌,10688,2375
深度電影-讓子彈飛,266483,8325
Ed Sheeran - Photograph 中文歌詞,513250,3314
《令人討厭的松子的一生》真有所謂的愛情嗎？,27718,2317
《宿主》二魂一體，兩男奮力搶,17532,2357
[吉] #300 陳奕迅 - 讓我留在你身邊,270740,115
泰劇 《天生一對／宿緣／Bpoop Phaeh Saniwaat ／บุพเพสันนิวาส》 （15集 完） 劇情介紹,0,15994
2017十大電影推薦！ ＆  2018上半年十大期待電影！,49108,34
雙倍的感動：TWICE成員基本資料介紹,664560,4185
犀利人妻：藍媽媽對小三黎薇恩的心理治療,5042,2265
【Split 分裂】怪物是相對的概念,16867,3379
【美劇】Netflix《13 Reasons Why漢娜的遺言》第一季1-13集—無情青春風暴（附原著與電視劇情差異對照）,31356,5884
Alan Walker 艾倫沃克 - Faded 淡出【中文翻譯歌詞】#JT的翻譯小窩#,524538,1455
【擺渡人】25大金句：離你最近的地方，路途最遠,201002,1320
分裂(Split)：後宮全是詹姆斯麥艾維,24054,3635
Signal (韓劇) 信號 - 1-16 結局 + 全劇感想,1071000,2922
【蔡瑞雪三圍】蔡瑞雪學歷比身高還重要！北一女甜美正妹清新臉蛋大眼又有氣質讓人融化了！,0,1559
[推薦台劇]犀利人妻~結局實在太感人,22535,2523
【影評】玩命直播,0,1943
《美人心機》姐妹花對決英國王室,36723,2979
【消息】防彈少年團 BTS BT21官方周邊販售資訊 (更新至梨泰院旗艦店/網路商店開放販售),31212,2007
{Drama)  漢娜的遺言 13 Reasons Why 第二季 (無雷&有雷) 影集心得+ 原聲帶推薦,2959,5441
《Peaceful warrior / 深夜加油站遇見蘇格拉底》觀後感想,86455,3344
"血觀音（The Bold, The Corrupt, and the Beautiful ）:腐敗的花朵也可以很鮮艷！",26373,3644
BTS-Airplane pt.2/歌詞中字,296,2512
【中文歌詞翻譯】Shawn Mendes - In My Blood,11015,3664
【電影心得】鬼病院-靈異病院,13660,2644
音樂推薦－你不可錯過的17首英文老歌,37674,1910
【歌詞】A Thousand Years (破曉主題曲：千年之戀),471856,1743
韓國音源 Melon 멜론 APP下載與儲值教學(iOS)一點都不難(17年12月更新 實名認證該怎麼辦)(17年10月更新 加入方法)(17年8月新增新版介面儲值、常問Q&A)(2017年6月更新 使用介面簡介),75312,11920
